Kelurahan,Kecamatan,Latitude,Longitude,jumlah_penduduk
CILEUNYI KULON,CILEUNYI,-6.942,107.744,23884
CILEUNYI WETAN,CILEUNYI,-6.915,107.755,32746
CIMEKAR,CILEUNYI,-6.94,107.73,35915
CINUNUK,CILEUNYI,-6.932,107.742,50306
CIBIRU HILIR,CILEUNYI,-6.968,107.713,15699
CIBIRU WETAN,CILEUNYI,-6.91,107.739,16887
CIMENYAN,CIMENYAN,-6.88,107.659,17816
MANDALAMEKAR,CIMENYAN,-6.874,107.673,7551
CIKADUT,CIMENYAN,-6.889,107.68,10079
CIBURIAL,CIMENYAN,-6.847,107.65,12335
SINDANGLAYA,CIMENYAN,-6.885,107.688,7570
MEKARSALUYU,CIMENYAN,-6.862,107.651,4312
MEKARMANIK,CIMENYAN,-6.873,107.693,8367
JATIENDAH,CILENGKRANG,-6.9,107.697,22141
CILENGKRANG,CILENGKRANG,-6.886,107.736,4180
CIPANJALU,CILENGKRANG,-6.846,107.734,7982
MELATIWANGI,CILENGKRANG,-6.892,107.704,5801
CIPOREAT,CILENGKRANG,-6.888,107.721,5375
GIRIMEKAR,CILENGKRANG,-6.876,107.701,13887
LENGKONG,BOJONGSOANG,-6.931,107.623,13759
BOJONGSOANG,BOJONGSOANG,-6.981,107.634,21775
BUAHBATU,BOJONGSOANG,-6.956,107.654,16535
CIPAGALO,BOJONGSOANG,-6.97,107.654,19322
BOJONGSARI,BOJONGSOANG,-7.001,107.649,15496
TEGALLUAR,BOJONGSOANG,-6.982,107.687,15584
MARGAHAYU TENGAH,MARGAHAYU,-6.959,107.573,17296
MARGAHAYU SELATAN,MARGAHAYU,-6.972,107.569,41523
SUKAMENAK,MARGAHAYU,-6.972,107.585,23854
SAYATI,MARGAHAYU,-6.972,107.576,40263
MARGAASIH,MARGAASIH,-6.944,107.5,23616
LAGADAR,MARGAASIH,-6.926,107.533,24538
NANJUNG,MARGAASIH,-6.955,107.537,16165
MEKARRAHAYU,MARGAASIH,-6.974,107.554,30493
RAHAYU,MARGAASIH,-6.959,107.554,23624
CIGONDEWAH HILIR,MARGAASIH,-6.945,107.555,12644
SANGKANHURIP,KATAPANG,-7,107.565,37338
KATAPANG,KATAPANG,-7.001,107.55,12078
GANDASARI,KATAPANG,-7.025,107.549,15565
SUKAMUKTI,KATAPANG,-6.999,107.583,4641
CILAMPENI,KATAPANG,-6.991,107.552,18823
PANGAUBAN,KATAPANG,-7.132,107.692,20568
BANYUSARI,KATAPANG,-7.015,107.559,16560
DAYEUHKOLOT,DAYEUHKOLOT,-6.973,107.59,18993
CANGKUANG WETAN,DAYEUHKOLOT,-6.971,107.605,24008
CANGKUANG KULON,DAYEUHKOLOT,-6.973,107.595,46294
SUKAPURA,DAYEUHKOLOT,-6.97,107.629,10866
CITEUREUP,DAYEUHKOLOT,-6.977,107.625,17243
KAMASAN,BANJARAN,-7.047,107.579,10295
BANJARAN WETAN,BANJARAN,-7.074,107.604,17705
BANJARAN KULON,BANJARAN,-7.048,107.588,12143
CIAPUS,BANJARAN,-7.066,107.59,14786
SINDANGPANON,BANJARAN,-7.061,107.583,14762
KIANGROKE,BANJARAN,-7.051,107.571,10614
TARAJUSARI,BANJARAN,-7.036,107.585,12748
MEKARJAYA,BANJARAN,-7.096,107.601,9177
MARGAHURIP,BANJARAN,-7.063,107.561,10950
NEGLASARI,BANJARAN,-7.062,107.572,9651
PASIRMULYA,BANJARAN,-7.113,107.605,6136
